Year,Average Internet Usage (%)
2000,8.732304462806123
2001,10.653856968090453
2002,13.61763048509901
2003,16.108085122959185
2004,18.52015133919598
2005,20.7991001385
2006,23.37999164824121
2007,25.59703662745098
2008,28.513324702970298
2009,31.238002425742575
2010,34.32057512437811
2011,37.05403784313726
2012,39.778628613861386
2013,42.13829512437811
2014,45.21101825870647
2015,48.0346208
2016,51.38965197044335
2017,54.66493737864078
2018,57.86378863636364
2019,61.250281263924734
2020,64.49231988114583
2021,67.88072044368421
2022,71.29170327868853
2023,87.66674576271186
