Country Name,Median Internet Usage (%)
Afghanistan,4.5
Albania,48.2
Algeria,14.9
American Samoa,
Andorra,81.0
Angola,4.7
Antigua and Barbuda,52.0
Argentina,53.4
Armenia,32.0
Aruba,55.0
Australia,81.4706
Austria,79.38499999999999
Azerbaijan,54.2
"Bahamas, The",65.0
Bahrain,82.5
Bangladesh,4.75
Barbados,66.5
Belarus,54.17
Belgium,81.16499999999999
Belize,31.0
Benin,4.14832
Bermuda,82.775
Bhutan,14.4
Bolivia,30.0
Bosnia and Herzegovina,44.4761
Botswana,9.0
Brazil,47.125
British Virgin Islands,37.4
Brunei Darussalam,56.0
Bulgaria,49.94
Burkina Faso,3.0
Burundi,1.04239
Cabo Verde,32.0
Cambodia,2.18
Cameroon,5.0
Canada,83.0
Cayman Islands,69.4659
Central African Republic,2.1
Chad,1.9
Channel Islands,
Chile,53.6498
China,40.30005
Colombia,40.3509
Comoros,5.1
"Congo, Dem. Rep.",1.2
"Congo, Rep.",5.0
Costa Rica,42.5861
Cote d'Ivoire,2.9
Croatia,59.864999999999995
Cuba,16.0173
Curacao,64.99135
Cyprus,58.7749
Czechia,71.96000000000001
Denmark,91.035
Djibouti,7.0
Dominica,48.025000000000006
Dominican Republic,38.0
Ecuador,33.25095
"Egypt, Arab Rep.",25.6
El Salvador,18.9
Equatorial Guinea,8.75
Eritrea,0.9
Estonia,77.44495
Eswatini,18.13
Ethiopia,1.1
Faroe Islands,75.38499999999999
Fiji,28.0
Finland,86.7102
France,77.913
French Polynesia,39.235
Gabon,18.0
"Gambia, The",10.8703
Georgia,34.23
Germany,82.175
Ghana,9.0
Gibraltar,48.4543
Greece,53.36
Greenland,62.825
Grenada,30.0
Guam,49.53035
Guatemala,12.3
Guinea,2.0
Guinea-Bissau,2.672
Guyana,30.0
Haiti,8.684999999999999
Honduras,15.9
"Hong Kong SAR, China",72.2
Hungary,69.3
Iceland,94.8197
India,7.5
Indonesia,13.399999999999999
"Iran, Islamic Rep.",19.0
Iraq,6.05
Ireland,74.89
Isle of Man,
Israel,68.8739
Italy,55.014250000000004
Jamaica,33.79
Japan,79.0541
Jordan,34.9
Kazakhstan,56.253299999999996
Kenya,8.8
Kiribati,10.0
"Korea, Dem. People's Rep.",0.0
"Korea, Rep.",83.91454999999999
Kosovo,86.6683
Kuwait,68.10955
Kyrgyz Republic,17.5
Lao PDR,9.0
Latvia,71.43495
Lebanon,52.0
Lesotho,7.0
Liberia,2.6
Libya,9.9
Liechtenstein,82.5
Lithuania,65.435
Luxembourg,91.28495000000001
"Macao SAR, China",60.2037
Madagascar,1.9
Malawi,3.8403
Malaysia,59.02875
Maldives,34.0
Mali,2.2
Malta,68.10985
Marshall Islands,7.0
Mauritania,4.5
Mauritius,34.95
Mexico,38.46315
"Micronesia, Fed. Sts.",22.8
Moldova,32.07
Monaco,77.65
Mongolia,17.7
Montenegro,60.31
Morocco,52.0
Mozambique,4.6
Myanmar,0.98
Namibia,12.0
Nauru,74.7379
Nepal,9.0
Netherlands,91.02664999999999
New Caledonia,34.51
New Zealand,81.23
Nicaragua,10.6
Niger,0.865
Nigeria,13.8
North Macedonia,56.7
Northern Mariana Islands,
Norway,94.0488
Oman,54.0
Pakistan,8.05
Palau,21.6015
Panama,40.3019
Papua New Guinea,1.89528
Paraguay,27.05175
Peru,36.01
Philippines,29.0
Poland,62.315
Portugal,57.795
Puerto Rico,46.65
Qatar,69.0
Romania,42.945
Russian Federation,62.0
Rwanda,8.011925
Samoa,11.0
San Marino,50.70055
Sao Tome and Principe,20.1612
Saudi Arabia,50.75
Senegal,9.8
Serbia,57.76275
Seychelles,45.120000000000005
Sierra Leone,0.9
Singapore,71.5
Sint Maarten (Dutch part),
Slovak Republic,76.21
Slovenia,69.175
Solomon Islands,6.0
Somalia,1.205305
South Africa,33.97
South Sudan,4.449999999999999
Spain,68.45
Sri Lanka,10.5
St. Kitts and Nevis,63.2
St. Lucia,34.0
St. Martin (French part),
St. Vincent and the Grenadines,36.7
Sudan,11.379999999999999
Suriname,32.0
Sweden,90.30510000000001
Switzerland,84.54650000000001
Syrian Arab Republic,20.7
Tajikistan,11.55
Tanzania,3.2
Thailand,25.06495
Timor-Leste,7.0
Togo,3.5
Tonga,20.5
Trinidad and Tobago,55.2
Tunisia,39.1
Turkiye,44.09785
Turkmenistan,1.85
Turks and Caicos Islands,
Tuvalu,14.6
Uganda,4.449999999999999
Ukraine,26.004150000000003
United Arab Emirates,81.5
United Kingdom,85.38
United States,73.0
Uruguay,51.4047
Uzbekistan,21.1
Vanuatu,9.2
"Venezuela, RB",29.29
Viet Nam,35.935
Virgin Islands (U.S.),27.46175
West Bank and Gaza,42.239999999999995
"Yemen, Rep.",12.35
Zambia,3.5
Zimbabwe,8.4
